especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
AL30C,2021-08-23,34.75,35.7,34.75,35.66,2419985,1629687600.0
AL30C,2021-08-24,35.01,35.4,35.01,35.4,1589380,1629774000.0
AL30C,2021-08-25,35.25,35.4,35.0,35.38,2438509,1629860400.0
AL30C,2021-08-26,35.06,35.44,35.06,35.44,1792523,1629946800.0
AL30C,2021-08-27,35.05,35.65,35.05,35.65,1742185,1630033200.0
AL30C,2021-08-30,35.0,35.98,35.0,35.98,1799516,1630292400.0
AL30C,2021-08-31,35.7,36.28,35.7,36.28,1832891,1630378800.0
AL30C,2021-09-01,36.1,36.85,36.0,36.85,2524900,1630465200.0
AL30C,2021-09-02,36.7,37.43,36.65,37.43,1738087,1630551600.0
AL30C,2021-09-03,37.2,37.49,37.06,37.49,1262457,1630638000.0
AL30C,2021-09-06,37.3,37.73,37.12,37.73,1663771,1630897200.0
AL30C,2021-09-07,37.5,37.86,37.35,37.82,2973279,1630983600.0
AL30C,2021-09-08,37.5,37.76,37.25,37.76,2217922,1631070000.0
AL30C,2021-09-09,37.15,37.71,37.15,37.71,2992225,1631156400.0
AL30C,2021-09-10,37.25,37.65,37.25,37.65,1795298,1631242800.0
AL30C,2021-09-13,37.8,38.4,37.51,38.4,1548411,1631502000.0
AL30C,2021-09-14,38.0,38.5,37.9,38.24,1790114,1631588400.0
AL30C,2021-09-15,37.75,38.13,37.75,38.13,2188204,1631674800.0
AL30C,2021-09-16,37.7,38.15,37.7,38.15,2507932,1631761200.0
AL30C,2021-09-17,37.75,38.07,37.75,38.07,1686219,1631847600.0
AL30C,2021-09-20,37.35,37.85,37.25,37.85,2107843,1632106800.0
AL30C,2021-09-21,37.25,37.73,37.25,37.73,1537947,1632193200.0
AL30C,2021-09-22,37.15,37.66,37.15,37.66,2266604,1632279600.0
AL30C,2021-09-23,37.5,37.62,37.41,37.62,3114500,1632366000.0
AL30C,2021-09-24,37.0,37.34,37.0,37.34,2999612,1632452400.0
AL30C,2021-09-27,36.8,37.18,36.75,37.18,2976889,1632711600.0
AL30C,2021-09-28,36.75,37.1,36.61,37.1,3511181,1632798000.0
AL30C,2021-09-29,36.61,37.21,36.61,37.21,4093523,1632884400.0
AL30C,2021-09-30,36.7,37.1,36.7,37.1,3461298,1632970800.0
AL30C,2021-10-01,36.71,36.99,36.7,36.96,4795317,1633057200.0
AL30C,2021-10-04,36.58,36.85,36.58,36.85,4880512,1633316400.0
AL30C,2021-10-05,36.46,36.67,36.1,36.67,4445673,1633402800.0
AL30C,2021-10-06,35.0,36.36,35.0,36.36,1365452,1633489200.0
AL30C,2021-10-07,35.0,36.37,35.0,36.37,3385066,1633575600.0
AL30C,2021-10-12,35.2,36.15,35.2,36.15,1414769,1634007600.0
AL30C,2021-10-13,35.65,36.09,35.65,36.09,1976921,1634094000.0
AL30C,2021-10-14,35.6,36.05,35.6,36.05,2723560,1634180400.0
AL30C,2021-10-15,35.61,35.95,35.6,35.95,2448858,1634266800.0
AL30C,2021-10-18,35.45,35.83,35.45,35.83,2218019,1634526000.0
AL30C,2021-10-19,35.41,35.8,35.41,35.8,1957691,1634612400.0
AL30C,2021-10-20,35.4,35.82,35.4,35.82,2801179,1634698800.0
AL30C,2021-10-21,35.3,35.83,35.3,35.83,2131481,1634785200.0
AL30C,2021-10-22,35.4,35.8,35.3,35.8,3450733,1634871600.0
AL30C,2021-10-25,35.5,35.85,35.5,35.85,2672213,1635130800.0
AL30C,2021-10-26,35.85,35.86,35.5,35.86,2021655,1635217200.0
AL30C,2021-10-27,35.51,35.85,35.51,35.85,3769376,1635303600.0
AL30C,2021-10-28,35.41,35.82,35.41,35.8,2082478,1635390000.0
AL30C,2021-10-29,35.41,35.73,35.41,35.68,2179523,1635476400.0
AL30C,2021-11-01,35.31,35.64,35.31,35.64,3586705,1635735600.0
AL30C,2021-11-02,35.2,35.67,35.2,35.67,3353610,1635822000.0
AL30C,2021-11-03,35.22,35.59,35.21,35.56,4800656,1635908400.0
AL30C,2021-11-04,35.2,35.68,35.15,36.0,4405714,1635994800.0
AL30C,2021-11-05,35.25,35.83,35.2,35.83,5019391,1636081200.0
AL30C,2021-11-08,35.2,35.97,35.15,35.97,5004611,1636340400.0
AL30C,2021-11-09,35.5,36.05,35.41,35.89,3043939,1636426800.0
AL30C,2021-11-10,35.36,35.87,35.05,35.85,5071967,1636513200.0
AL30C,2021-11-11,35.28,35.88,35.26,35.88,3671757,1636599600.0
AL30C,2021-11-12,35.4,35.8,35.3,35.8,5489945,1636686000.0
AL30C,2021-11-15,35.3,35.7,35.0,35.14,3506758,1636945200.0
AL30C,2021-11-16,31.0,32.11,31.0,32.11,132207,1637031600.0
AL30C,2021-11-17,31.63,31.63,30.7,31.2,350735,1637118000.0
AL30C,2021-11-18,29.75,30.05,29.75,30.0,181585,1637204400.0
AL30C,2021-11-19,29.75,30.25,28.5,29.85,212584,1637290800.0
AL30C,2021-11-23,29.7,29.7,28.5,28.5,165760,1637636400.0
AL30C,2021-11-24,28.5,28.55,28.45,28.5,86338,1637722800.0
AL30C,2021-11-25,28.25,28.5,28.12,28.2,207394,1637809200.0
AL30C,2021-11-26,27.9,27.9,27.5,27.65,65883,1637895600.0
AL30C,2021-11-29,27.5,27.5,27.5,27.5,10125,1638154800.0
AL30C,2021-11-30,27.5,27.5,27.5,27.5,0,1638241200.0
AL30C,2021-12-01,28.3,28.3,28.3,28.3,1,1638327600.0
AL30C,2021-12-02,29.5,29.5,29.06,29.5,89495,1638414000.0
AL30C,2021-12-03,29.5,30.45,29.5,30.0,46297,1638500400.0
AL30C,2021-12-06,30.05,30.5,30.05,30.5,100033,1638759600.0
AL30C,2021-12-07,30.5,30.51,30.5,30.51,19365,1638846000.0
AL30C,2021-12-09,31.05,31.6,31.05,31.6,41834,1639018800.0
AL30C,2021-12-10,31.9,31.9,31.9,31.9,6494,1639105200.0
AL30C,2021-12-13,31.5,31.5,31.5,31.5,86276,1639364400.0
AL30C,2021-12-14,31.25,31.5,31.25,31.5,19888,1639450800.0
AL30C,2021-12-15,31.75,31.75,31.75,31.75,50000,1639537200.0
AL30C,2021-12-16,31.55,32.0,31.4,32.0,229461,1639623600.0
AL30C,2021-12-17,31.0,31.2,31.0,31.2,99992,1639710000.0
AL30C,2021-12-20,31.0,31.2,31.0,31.2,0,1639969200.0
AL30C,2021-12-21,31.0,31.2,31.0,31.2,0,1640055600.0
AL30C,2021-12-22,31.0,31.2,31.0,31.2,0,1640142000.0
AL30C,2021-12-23,30.7,31.0,30.6,31.0,327071,1640228400.0
AL30C,2021-12-27,31.0,31.5,31.0,31.3,137039,1640574000.0
